%% LaTeX2e file `exp2_mset_results.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2018/04/23.
%%
 ImageID mset
 0 0.954
 1 0.964
 2 0.946
 3 0.957
 4 0.969
 5 0.969
 6 0.923
 7 0.926
 8 0.960
 9 0.936
 10 0.930
 11 0.957
 12 0.906
 13 0.922
 14 0.960
 15 0.911
 16 0.929
 17 0.886
 18 0.944
 19 0.808
 20 0.950
 21 0.956
 22 0.959
 23 0.943
 24 0.843
 25 0.942
 26 0.943
 27 0.944
 28 0.949
 29 0.959
 30 0.961
 31 0.923
 32 0.950
 33 0.952
 34 0.940
 35 0.961
 36 0.924
 37 0.955
 38 0.951
 39 0.951
